,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,estimate
Manipur,274.2,340.5,269.3,348.8,478.3,331.8,367.3,351.7,382.2,365.0,381.7,387.3,332.6,381.2,435.9,386.1,386.1,406.2,397.0,319.9,521.7,591.0,257.6,398.5,334.1,338.8,430.4,607.8,401.6,0.0,0.0,410.42
Meghalaya,119.8,121.1,114.0,117.8,111.5,111.8,141.1,150.1,149.7,170.7,179.0,189.0,190.9,200.7,193.7,151.9,200.2,200.0,203.9,206.7,207.0,216.5,232.0,273.9,298.2,301.1,203.0,304.6,202.0,0.0,0.0,239.34
Mizoram,63.8,71.0,84.0,96.7,100.2,101.5,111.2,110.3,109.2,88.4,103.7,105.7,109.2,114.6,104.1,99.2,29.5,15.7,46.0,44.3,47.2,54.3,30.5,59.0,60.7,62.1,61.5,59.6,60.0,0.0,0.0,54.27
Nagaland,152.2,154.0,176.0,180.0,174.0,185.0,153.0,187.3,209.6,132.4,230.0,237.3,225.0,248.0,259.8,263.1,263.5,290.6,345.1,240.3,381.4,382.4,405.2,429.6,454.2,318.8,336.7,349.6,356.7,0.0,0.0,354.98
Odisha,5275.3,6659.7,5387.7,6616.3,6353.2,6226.2,4438.4,6204.6,5391.5,5187.0,4614.0,7148.0,3276.7,6733.7,6466.0,6859.0,6824.7,7540.7,6812.7,6917.5,6827.7,5807.0,7295.5,7613.4,8298.2,5875.4,8325.9,6551.3,7733.7,8360.4,8765.3,7330.35
Puducherry,58.8,63.0,66.6,58.0,68.2,64.6,60.5,51.5,51.5,59.4,63.5,66.9,57.5,67.0,65.7,59.9,59.9,53.4,50.8,52.4,52.0,42.1,46.5,49.8,52.7,43.9,52.2,42.5,63.3,0.0,0.0,47.11
Punjab,6535.0,6755.0,7002.0,7642.0,7703.0,6768.0,7334.0,7904.0,7940.0,8716.0,9154.0,8816.0,8880.0,9656.0,10437.0,10193.0,10138.0,10489.0,11000.0,11236.0,10837.0,10542.0,11374.0,11267.0,11107.0,11823.0,11586.2,13381.8,12821.6,11779.3,12176.8,12236.2
Rajasthan,142.1,119.5,174.8,143.1,173.2,117.6,174.2,190.3,205.5,252.6,155.7,180.0,67.9,164.8,150.4,153.0,169.8,259.6,241.1,228.3,265.5,253.4,222.5,312.6,366.7,369.8,452.7,450.9,453.2,480.5,634.0,334.9
Sikkim,25.3,22.3,20.7,20.7,20.7,21.9,22.1,21.4,22.0,23.4,21.4,22.3,21.2,21.2,21.6,21.5,21.5,22.9,21.7,24.3,21.0,20.9,21.3,20.3,20.1,13.1,19.7,17.6,17.2,0.0,0.0,17.95
Tamil Nadu,5782.4,6596.3,6805.7,6749.8,7562.8,5290.0,1903.8,6893.7,8141.4,7532.1,7366.3,6584.0,3577.1,3222.8,5062.2,5220.0,6610.6,5040.2,5182.7,5665.2,5792.4,7458.7,4049.9,5349.8,5727.8,7517.1,2369.4,6638.9,6130.9,7171.1,7283.2,5533.48
Tripura,501.3,474.5,438.1,493.2,413.9,465.5,266.0,535.8,491.5,505.7,513.4,587.4,602.3,516.6,545.1,552.9,620.5,624.6,627.1,640.0,702.5,718.3,713.2,711.8,747.0,794.8,814.6,812.1,793.2,0.0,0.0,689.68
Uttar Pradesh,10260.3,9411.4,9709.3,10210.1,10365.0,10362.5,11767.7,12175.4,11386.6,13231.0,11679.2,12856.0,9594.9,13018.8,9555.6,11133.7,11124.0,11780.0,13097.0,10807.1,11992.0,14022.0,14416.0,14636.0,12167.9,12501.0,13754.0,13274.0,15545.3,15517.8,15663.5,13614.04
Uttarakhand,590.28,590.28,590.28,590.28,590.28,590.28,590.28,590.28,590.28,590.28,590.28,621.5,614.4,483.0,569.0,572.0,590.0,556.0,593.0,582.0,608.0,550.4,594.0,579.8,578.6,639.1,630.0,646.7,617.6,658.4,714.4,598.37
West Bengal,10436.5,11954.2,11445.4,12110.9,12235.9,11887.0,12636.8,13216.6,13316.5,13759.7,12428.1,15256.7,14389.2,14662.3,14884.8,14510.8,14745.9,14719.5,15037.3,14340.7,13045.9,14605.8,15023.7,15370.7,14677.2,15953.9,15302.5,14967.0,16242.2,15569.7,16648.5,16005.54
ALL INDIA,74291.4,74677.6,72867.7,80298.2,81814.0,76975.3,80736.3,82544.5,86076.7,89682.9,84976.6,93340.0,71820.2,88526.0,83131.7,91793.4,93355.3,96692.9,99182.5,89092.9,95979.8,105301.0,105231.6,106645.5,105482.1,104408.2,109698.4,112757.6,116477.8,118146.5,119079.3,107903.26
